CUSTOMER_ID,PRODUCT_TYPE,CHURN_STATUS,DURATION,TRAFFIC_SOURCE,GENDER,AGE_BUCKET,STATE,CARRIER_NAME,SUBMIT_METHOD,REVENUE_RECEIVED
C102,Product A,1,364,Source 222,M,Age Range 1,SC,Carrier 3,Phone,394
C103,Product A,0,1692,Source 197,F,Age Range 3,MI,Carrier 3,Phone,1665.75
C104,Product B,1,112,Source 1,F,Age Range 2,FL,Carrier 5,Phone,51
C105,Product A,0,592,Source 160,F,Age Range 2,TX,Carrier 2,Web,738
C106,Product A,1,91,Source 95,F,Age Range 1,FL,Carrier 3,Phone,238.5
C107,Product A,0,220,Source 95,F,Age Range 1,OH,Carrier 1,Phone,610
C108,Product A,1,248,Source 1,F,Age Range 2,FL,Carrier 3,Phone,416.25
C109,Product B,0,1327,Source 95,F,Age Range 1,GA,Carrier 3,Web,225
C110,Product B,0,584,Source 160,M,Age Range 1,OH,Carrier 5,Phone,191
C111,Product B,1,243,Source 201,F,Age Range 1,TX,Carrier 3,Phone,56.08
C112,Product A,0,313,Source 194,M,Age Range 2,TX,Carrier 3,Phone,430.31
C113,Product A,0,501,Source 1,M,Age Range 2,FL,Carrier 3,Phone,531.31
C114,Product B,0,222,Source 181,F,Age Range 1,NC,Carrier 5,Phone,59
C115,Product A,0,1476,Source 178,M,Age Range 1,FL,Carrier 3,Phone,1661.75
C116,Product B,0,221,Source 224,M,Age Range 1,MA,Carrier 5,Phone,59
C117,Product A,0,130,Source 194,M,Age Range 2,OH,Carrier 5,Phone,639
C118,Product A,1,67,Source 95,M,Age Range 3,NJ,Carrier 1,Phone,692
C119,Product A,0,959,Source 191,F,Age Range 2,ME,Carrier 5,Phone,932.94
C120,Product A,1,176,Source 222,F,Age Range 1,FL,Carrier 3,Phone,605
C121,Product B,1,0,Source 190,M,Age Range 3,TN,Carrier 3,Phone,109
C122,Product B,0,1078,Source 189,M,Age Range 3,PA,Carrier 5,Phone,175.35
C123,Product B,1,89,Source 188,F,Age Range 1,GA,Carrier 1,Phone,31.5
C124,Product A,0,589,Source 226,M,Age Range 1,OK,Carrier 3,Web,803.81
C125,Product A,0,590,Source 1,F,Age Range 1,AL,Carrier 3,Phone,592.81
C126,Product A,0,681,Source 1,F,Age Range 1,PA,Carrier 3,Phone,1129.72
C127,Product A,1,371,Source 1,M,Age Range 1,NJ,Carrier 5,Phone,653
C128,Product A,1,140,Source 178,F,Age Range 3,CA,Carrier 5,Phone,308.83
C129,Product A,1,58,Source 1,F,Age Range 2,FL,Carrier 5,Phone,88.67
C130,Product A,0,378,Source 1,M,Age Range 2,LA,Carrier 3,Phone,551.56
C131,Product A,1,1057,Source 95,M,Age Range 2,SC,Carrier 3,Phone,1266.75
C132,Product A,1,364,Source 1,F,Age Range 1,TX,Carrier 5,Phone,544
C133,Product B,0,1014,Source 104,M,Age Range 1,WV,Carrier 5,Phone,299
C134,Product A,1,303,Source 95,F,Age Range 3,CA,Carrier 4,Phone,717.08
C135,Product C,0,1076,Source 222,F,Age Range 1,IL,Carrier 3,Phone,498.05
C136,Product A,1,725,Source 210,F,Age Range 2,TN,Carrier 3,Phone,734
C137,Product A,0,186,Source 1,M,Age Range 2,MD,Carrier 3,Phone,280.33
C138,Product A,0,596,Source 170,M,Age Range 2,AL,Carrier 2,Phone,1045
C139,Product A,1,28,Source 1,M,Age Range 2,FL,Carrier 3,Phone,62.75
C140,Product B,0,222,Source 160,F,Age Range 2,VA,Carrier 5,Phone,122
C141,Product A,0,1354,Source 117,M,Age Range 2,WV,Carrier 3,Phone,1662.75
C142,Product A,0,600,Source 171,M,Age Range 2,MI,Carrier 4,Phone,602
C143,Product A,1,547,Source 189,F,Age Range 1,FL,Carrier 1,Phone,789
C144,Product A,0,382,Source 233,M,Age Range 2,WI,Carrier 5,Phone,332.14
C145,Product A,0,1316,Source 200,F,Age Range 1,OR,Carrier 4,Web,1239
C146,Product B,0,715,Source 95,M,Age Range 3,TN,Carrier 3,Phone,129
C147,Product A,0,1689,Source 95,M,Age Range 2,NY,Carrier 4,Phone,1684.2
C148,Product A,1,25,Source 81,F,Age Range 2,WA,Carrier 3,Web,50
C149,Product B,0,227,Source 81,F,Age Range 1,MO,Carrier 1,Phone,59
C150,Product B,1,728,Source 182,M,Age Range 1,AZ,Carrier 5,Phone,95.92
C151,Product B,0,1323,Source 23,M,Age Range 1,NC,Carrier 3,Phone,192
C152,Product A,0,229,Source 178,M,Age Range 1,SC,Carrier 5,Web,629
C153,Product A,1,979,Source 141,F,Age Range 1,CA,Carrier 4,Phone,1301.57
C154,Product A,1,182,Source 160,F,Age Range 2,NJ,Carrier 1,Phone,381
C155,Product A,1,269,Source 233,M,Age Range 2,CA,Carrier 3,Phone,415.99
C156,Product A,1,183,Source 1,M,Age Range 2,HI,Carrier 5,Phone,489
C157,Product A,0,226,Source 1,M,Age Range 1,NV,Carrier 5,Phone,630
C158,Product A,1,1319,Source 173,F,Age Range 1,NJ,Carrier 5,Phone,1475.6
C159,Product B,0,988,Source 160,F,Age Range 1,MD,Carrier 5,Phone,177.35
C160,Product B,1,1580,Source 211,F,Age Range 3,KS,Carrier 3,Phone,248.05
C161,Product A,0,1834,Source 141,M,Age Range 1,TX,Carrier 3,Phone,1751.16
C162,Product A,1,215,Source 178,M,Age Range 1,OR,Carrier 5,Phone,175.17
C163,Product B,0,2044,Source 95,M,Age Range 1,WA,Carrier 3,Phone,307
C164,Product A,1,185,Source 1,M,Age Range 2,MO,Carrier 3,Phone,294
C165,Product C,1,23,Source 154,M,Age Range 1,IL,Carrier 4,Phone,55.96
C166,Product A,0,2059,Source 23,M,Age Range 2,TX,Carrier 3,Phone,1925.85
C167,Product A,1,637,Source 95,M,Age Range 2,FL,Carrier 3,Phone,883
C168,Product A,0,224,Source 1,M,Age Range 1,AZ,Carrier 3,Phone,404
C169,Product A,1,0,Source 95,F,Age Range 1,NV,Carrier 1,Phone,0
C170,Product A,1,23,Source 1,M,Age Range 2,MI,Carrier 5,Phone,0
C171,Product C,0,1530,Source 141,F,Age Range 1,PA,Carrier 2,Phone,1573.4
C172,Product A,0,347,Source 190,F,Age Range 2,NJ,Carrier 1,Phone,970.94
C173,Product A,0,222,Source 81,F,Age Range 1,GA,Carrier 4,Phone,659.08
C174,Product B,0,140,Source 185,M,Age Range 3,NY,Carrier 5,Phone,110
C175,Product B,0,954,Source 222,F,Age Range 1,MT,Carrier 5,Phone,216
C176,Product A,0,440,Source 170,F,Age Range 1,TX,Carrier 2,Phone,648.42
C177,Product A,1,366,Source 197,M,Age Range 1,MN,Carrier 3,Phone,385
C178,Product A,1,1341,Source 201,F,Age Range 2,FL,Carrier 1,Phone,1247.24
C179,Product A,1,0,Source 95,M,Age Range 2,LA,Carrier 3,Phone,50
C180,Product A,0,220,Source 1,M,Age Range 2,PA,Carrier 1,Phone,208
C181,Product B,0,439,Source 176,M,Age Range 2,CT,Carrier 3,Web,111.08
C182,Product A,0,744,Source 188,F,Age Range 1,CA,Carrier 5,Phone,1471
C183,Product A,0,957,Source 178,M,Age Range 1,IA,Carrier 1,Web,700.46
C184,Product B,1,52,Source 197,F,Age Range 1,CA,Carrier 5,Phone,17.67
C185,Product A,0,651,Source 1,M,Age Range 2,ME,Carrier 3,Phone,1090
C186,Product A,1,360,Source 222,M,Age Range 2,OH,Carrier 3,Phone,394
C187,Product A,1,29,Source 1,M,Age Range 1,FL,Carrier 3,Phone,45.83
C188,Product A,0,556,Source 2,M,Age Range 2,MI,Carrier 5,Phone,450.25
C189,Product B,1,357,Source 94,M,Age Range 1,NM,Carrier 1,Phone,52
C190,Product B,0,532,Source 222,M,Age Range 3,KY,Carrier 5,Phone,181
C191,Product A,1,271,Source 1,M,Age Range 2,MI,Carrier 5,Phone,379
C192,Product B,0,224,Source 178,M,Age Range 1,NJ,Carrier 3,Phone,107
C193,Product C,0,378,Source 1,F,Age Range 1,WA,Carrier 4,Phone,56.96
C194,Product A,0,170,Source 101,M,Age Range 3,FL,Carrier 3,Web,629
C195,Product A,1,727,Source 170,F,Age Range 1,NY,Carrier 4,Phone,915.12
C196,Product B,0,591,Source 188,M,Age Range 1,MN,Carrier 5,Web,186
C197,Product A,1,369,Source 202,F,Age Range 1,FL,Carrier 3,Phone,608
C198,Product B,0,586,Source 160,M,Age Range 1,NH,Carrier 3,Phone,148
C199,Product B,1,840,Source 210,F,Age Range 1,IL,Carrier 3,Phone,151.28
C200,Product C,0,950,Source 95,M,Age Range 1,PA,Carrier 4,Phone,529.77
C201,Product B,0,443,Source 222,F,Age Range 3,IL,Carrier 5,Phone,186
C202,Product A,0,229,Source 81,F,Age Range 1,CA,Carrier 5,Phone,764
C203,Product B,1,302,Source 176,F,Age Range 1,IL,Carrier 5,Web,55
C204,Product A,0,383,Source 243,M,Age Range 1,MA,Carrier 2,Phone,411.75
C205,Product A,0,1073,Source 170,F,Age Range 1,SD,Carrier 1,Phone,770.75
C206,Product A,0,133,Source 1,M,Age Range 3,OH,Carrier 4,Phone,616.04
C207,Product A,0,588,Source 1,M,Age Range 1,MS,Carrier 3,Phone,808.81
C208,Product A,1,457,Source 95,M,Age Range 3,GA,Carrier 3,Phone,907
C209,Product A,0,528,Source 1,M,Age Range 1,LA,Carrier 3,Phone,634.99
C210,Product B,0,657,Source 160,M,Age Range 1,NC,Carrier 5,Web,249
C211,Product A,1,209,Source 141,F,Age Range 1,FL,Carrier 3,Phone,611
C212,Product A,1,152,Source 1,M,Age Range 1,NC,Carrier 1,Phone,252.08
C213,Product A,0,251,Source 67,F,Age Range 2,OH,Carrier 5,Phone,246.22
C214,Product A,0,497,Source 193,M,Age Range 2,AL,Carrier 5,Phone,702.26
C215,Product A,0,281,Source 160,F,Age Range 1,MO,Carrier 5,Phone,247.39
C216,Product B,0,1080,Source 95,M,Age Range 1,CA,Carrier 5,Phone,299
C217,Product B,0,1687,Source 95,F,Age Range 3,VA,Carrier 3,Web,267
C218,Product A,1,1424,Source 95,M,Age Range 2,TX,Carrier 3,Web,1576
C219,Product A,1,1097,Source 95,F,Age Range 1,OH,Carrier 3,Phone,1181
C220,Product A,0,1295,Source 95,F,Age Range 2,CT,Carrier 5,Phone,1044.08
C221,Product A,1,66,Source 233,M,Age Range 1,TN,Carrier 2,Phone,0
C222,Product A,0,233,Source 13,M,Age Range 1,PA,Carrier 5,Phone,366
C223,Product B,0,957,Source 95,F,Age Range 1,IL,Carrier 3,Web,150
C224,Product A,1,360,Source 95,M,Age Range 1,IL,Carrier 2,Phone,645
C225,Product B,1,731,Source 191,F,Age Range 1,VA,Carrier 4,Phone,147
C226,Product A,0,222,Source 228,F,Age Range 1,TX,Carrier 2,Phone,661
C227,Product C,0,1510,Source 197,F,Age Range 3,WV,Carrier 4,Phone,1084.57
C228,Product A,1,241,Source 1,M,Age Range 1,MI,Carrier 5,Phone,411
C229,Product C,1,1214,Source 160,M,Age Range 1,UT,Carrier 3,Phone,262.2
C230,Product A,0,1318,Source 95,F,Age Range 3,NV,Carrier 3,Phone,1447
C231,Product A,1,30,Source 1,F,Age Range 2,TX,Carrier 5,Phone,0
C232,Product B,0,1319,Source 95,F,Age Range 1,PA,Carrier 3,Phone,193
C233,Product A,0,621,Source 200,F,Age Range 1,IL,Carrier 3,Phone,1097
C234,Product A,0,1074,Source 178,M,Age Range 1,VA,Carrier 3,Phone,1458
C235,Product A,0,2051,Source 43,F,Age Range 2,NC,Carrier 3,Phone,1917.85
C236,Product A,1,429,Source 194,M,Age Range 2,TN,Carrier 3,Phone,881
C237,Product A,0,1321,Source 210,M,Age Range 2,MD,Carrier 2,Phone,1704.04
C238,Product A,1,326,Source 95,M,Age Range 1,VA,Carrier 3,Web,535.8
C239,Product A,0,924,Source 1,M,Age Range 2,AZ,Carrier 1,Phone,534
C240,Product A,1,454,Source 95,F,Age Range 2,VA,Carrier 3,Phone,690
C241,Product A,1,174,Source 114,M,Age Range 1,DC,Carrier 2,Phone,382.5
C242,Product A,1,1818,Source 213,F,Age Range 2,LA,Carrier 3,Phone,1750.16
C243,Product A,0,319,Source 164,M,Age Range 3,TX,Carrier 1,Phone,760.25
C244,Product C,0,243,Source 104,F,Age Range 2,PA,Carrier 4,Phone,64.28
C245,Product A,0,1321,Source 188,F,Age Range 1,FL,Carrier 3,Phone,1243
C246,Product A,1,185,Source 25,M,Age Range 3,PA,Carrier 1,Phone,551
C247,Product A,0,859,Source 160,F,Age Range 2,FL,Carrier 3,Web,1037.14
C248,Product A,1,1124,Source 95,F,Age Range 2,NY,Carrier 4,Phone,980.24
C249,Product B,0,1316,Source 95,M,Age Range 1,MN,Carrier 3,Phone,223
C250,Product A,0,279,Source 178,F,Age Range 1,WA,Carrier 5,Web,790.89
C251,Product A,0,960,Source 1,M,Age Range 2,MI,Carrier 4,Phone,595
C252,Product B,1,725,Source 222,M,Age Range 1,SD,Carrier 3,Web,140
C253,Product A,1,144,Source 1,F,Age Range 3,MT,Carrier 3,Phone,275.08
C254,Product B,1,1310,Source 164,F,Age Range 1,NE,Carrier 5,Web,150.05
C255,Product B,1,1001,Source 210,M,Age Range 3,IL,Carrier 2,Phone,177
C256,Product A,0,947,Source 1,F,Age Range 1,AL,Carrier 1,Phone,741.29
C257,Product A,0,227,Source 200,F,Age Range 2,SC,Carrier 3,Phone,225
C258,Product A,0,1680,Source 213,F,Age Range 2,MS,Carrier 3,Phone,1662.75
C259,Product B,1,183,Source 222,M,Age Range 3,PA,Carrier 3,Phone,100
C260,Product B,0,2142,Source 95,F,Age Range 1,TX,Carrier 3,Phone,335
C261,Product A,1,237,Source 191,M,Age Range 1,WA,Carrier 3,Phone,322
C262,Product A,1,480,Source 154,F,Age Range 1,NM,Carrier 3,Phone,882
C263,Product A,1,27,Source 233,M,Age Range 2,WA,Carrier 3,Phone,64
C264,Product B,1,671,Source 232,F,Age Range 1,TX,Carrier 3,Phone,124
C265,Product A,0,162,Source 63,F,Age Range 1,CA,Carrier 4,Phone,437.94
C266,Product B,0,564,Source 189,M,Age Range 1,NE,Carrier 5,Phone,181.75
C267,Product A,1,366,Source 200,M,Age Range 1,AZ,Carrier 5,Phone,435
C268,Product A,0,957,Source 1,M,Age Range 2,TX,Carrier 2,Phone,1366
C269,Product A,1,146,Source 171,F,Age Range 1,NY,Carrier 5,Phone,148.17
C270,Product A,0,226,Source 1,M,Age Range 2,NY,Carrier 5,Phone,346
C271,Product A,0,222,Source 1,F,Age Range 1,TX,Carrier 3,Phone,404
C272,Product A,1,640,Source 201,F,Age Range 1,NE,Carrier 3,Phone,614.03
C273,Product A,0,2419,Source 95,M,Age Range 2,CO,Carrier 3,Web,2220.25
C274,Product B,0,111,Source 95,M,Age Range 3,FL,Carrier 3,Web,112
C275,Product A,0,530,Source 1,M,Age Range 1,FL,Carrier 5,Phone,853.86
C276,Product A,0,507,Source 88,M,Age Range 2,FL,Carrier 5,Phone,390.59
C277,Product A,0,598,Source 1,F,Age Range 1,GA,Carrier 3,Phone,591.81
C278,Product A,1,122,Source 1,F,Age Range 1,TN,Carrier 5,Phone,209
C279,Product B,1,1220,Source 95,M,Age Range 1,IN,Carrier 3,Phone,218.5
C280,Product A,0,963,Source 117,F,Age Range 1,PA,Carrier 2,Phone,1080
C281,Product B,0,230,Source 171,M,Age Range 1,NJ,Carrier 5,Web,82
C282,Product B,1,368,Source 194,M,Age Range 1,DE,Carrier 5,Phone,86
C283,Product A,0,164,Source 171,M,Age Range 1,NJ,Carrier 5,Phone,741
C284,Product B,1,397,Source 95,F,Age Range 1,MO,Carrier 5,Web,50.33
C285,Product A,0,557,Source 88,F,Age Range 2,LA,Carrier 3,Phone,767.06
C286,Product A,1,367,Source 1,M,Age Range 1,AL,Carrier 3,Phone,586
C287,Product A,1,730,Source 1,F,Age Range 2,VA,Carrier 3,Phone,907
C288,Product A,0,1690,Source 95,M,Age Range 1,CT,Carrier 1,Phone,1714.62
C289,Product B,0,1323,Source 188,F,Age Range 1,MD,Carrier 3,Phone,197
C290,Product A,1,456,Source 1,M,Age Range 2,NY,Carrier 5,Phone,610.54
C291,Product B,0,625,Source 160,F,Age Range 1,IL,Carrier 5,Phone,237
C292,Product B,0,898,Source 201,F,Age Range 1,TX,Carrier 3,Phone,185
C293,Product B,1,1670,Source 211,M,Age Range 1,CA,Carrier 5,Phone,240.9
C294,Product B,1,361,Source 23,F,Age Range 1,OH,Carrier 3,Web,94
C295,Product A,1,275,Source 1,F,Age Range 2,PA,Carrier 3,Phone,396.74
C296,Product A,1,361,Source 29,M,Age Range 3,CA,Carrier 4,Phone,714.04
C297,Product A,1,359,Source 167,M,Age Range 1,SC,Carrier 3,Phone,408
C298,Product A,1,698,Source 95,M,Age Range 2,AZ,Carrier 1,Phone,607
C299,Product A,0,1680,Source 178,F,Age Range 1,SC,Carrier 3,Phone,1665.75
C300,Product A,0,591,Source 210,F,Age Range 2,GA,Carrier 1,Phone,1234.25
C301,Product A,0,1198,Source 173,F,Age Range 1,NY,Carrier 1,Phone,1182.5
C302,Product C,0,1903,Source 222,M,Age Range 1,TX,Carrier 4,Phone,897.98
C303,Product A,1,367,Source 104,F,Age Range 1,WI,Carrier 3,Phone,399
C304,Product A,0,866,Source 1,M,Age Range 2,NC,Carrier 3,Phone,1091
C305,Product A,0,588,Source 96,M,Age Range 1,OK,Carrier 2,Phone,746
C306,Product A,0,863,Source 1,F,Age Range 1,AR,Carrier 3,Phone,1097
C307,Product A,1,1093,Source 95,M,Age Range 1,TX,Carrier 3,Phone,1048
C308,Product A,0,926,Source 222,F,Age Range 3,LA,Carrier 3,Phone,1084
C309,Product A,0,591,Source 233,F,Age Range 2,CT,Carrier 1,Phone,836
C310,Product A,0,1774,Source 114,F,Age Range 1,NY,Carrier 3,Phone,1701.82
C311,Product A,1,549,Source 1,F,Age Range 1,TX,Carrier 3,Phone,916
C312,Product B,1,31,Source 176,M,Age Range 1,IL,Carrier 5,Web,76
C313,Product A,0,724,Source 95,M,Age Range 1,TX,Carrier 5,Phone,783.5
C314,Product B,1,761,Source 95,F,Age Range 3,NC,Carrier 3,Phone,173
C315,Product A,0,262,Source 200,F,Age Range 1,CO,Carrier 3,Phone,323.67
C316,Product A,0,1500,Source 215,F,Age Range 1,FL,Carrier 3,Phone,1667.75
C317,Product A,1,403,Source 200,F,Age Range 1,SC,Carrier 3,Phone,645.83
C318,Product C,1,583,Source 95,M,Age Range 1,CO,Carrier 4,Phone,731.9
C319,Product B,0,347,Source 1,M,Age Range 2,AL,Carrier 3,Phone,92.67
C320,Product A,0,341,Source 1,M,Age Range 2,WV,Carrier 1,Phone,375.25
C321,Product A,0,225,Source 227,F,Age Range 2,MS,Carrier 3,Phone,620
C322,Product A,0,223,Source 1,M,Age Range 2,NY,Carrier 5,Phone,624
C323,Product A,0,227,Source 1,F,Age Range 2,NJ,Carrier 5,Phone,389
C324,Product B,0,129,Source 2,F,Age Range 1,PA,Carrier 3,Phone,109
C325,Product B,0,224,Source 178,M,Age Range 1,CO,Carrier 5,Phone,55
C326,Product A,0,193,Source 228,M,Age Range 3,FL,Carrier 3,Phone,633
